GIMIMO_METAI,GIMIMO_VALSTYBE,LYTIS,SEIMOS_PADETIS,KIEK_TURI_VAIKU,SENIUNIJA,GATVE,SENIUNNR,TER_REJ_KODAS,GATV_K,GAT_ID
1955,BLR,M,V,0,Fabijoniškės,"S. Stanevičiaus g.",4,G1,0492,22333
1985,LTU,M,,0,Pašilaičiai,"Pašilaičių g.",7,G1,0405,22250
1988,LTU,V,V,1,"Naujoji  Vilnia","M. Šikšnio g.",14,G1,0722,24268
1972,BLR,V,V,0,Naujininkai,"Šaltkalvių g.",19,G1,0646,22478
1973,LTU,M,I,0,Fabijoniškės,"P. Žadeikos g.",4,G1,0381,22226
1938,LTU,M,N,0,Žirmūnai,"Žirmūnų g.",2,G1,0694,22524
2015,LTU,V,,0,Grigiškės,"Kovo 11-osios g. (Grigiškės)",21,G89,0528,24569
2011,LTU,M,,0,Senamiestis,"Polocko g.",16,G1,0427,22269
2002,LTU,V,,0,Antakalnis,"Turniškių g.",13,G1,0561,22399
1931,LTU,M,,0,Pašilaičiai,"Gabijos g.",7,G1,0125,21981
2007,LTU,V,,0,Rasos,"Olandų g.",15,G1,0374,22219
1973,LTU,V,I,1,Fabijoniškės,"L. Giros g.",4,G1,0266,22117
2000,LTU,V,,0,Pašilaičiai,"Medeinos g.",7,G1,0330,22178
2017,LTU,V,,0,Šeškinė,"Čiobiškio g.",5,G1,0641,22473
2003,LTU,M,,0,"Naujoji  Vilnia","A. Paškevič-Ciotkos g.",14,G1,0318,22166
1939,BLR,V,N,0,Naujamiestis,"Naugarduko g.",17,G1,0364,22209
1959,RUS,M,,0,Pašilaičiai,"Laisvės pr.",7,G1,0272,22123
1932,LTU,V,V,0,Žirmūnai,"Žirmūnų g.",2,G1,0694,22524
1997,LTU,V,,0,Lazdynai,"Neužmirštuolių g.",11,G1,0837,28271
1978,LTU,M,V,2,Fabijoniškės,"Fabijoniškių g.",4,G1,0121,21977
1985,LTU,V,,0,Justiniškės,"Justiniškių g.",8,G1,0203,22056
2000,LTU,M,,0,Rasos,"Rasų g.",15,G1,0448,22289
1956,LTU,V,V,0,Verkiai,"Ateities g.",1,G1,0034,21893
1954,LTU,V,V,0,"Naujoji  Vilnia","Žilvičių g.",14,G1,0691,22521
1975,LTU,M,I,0,Naujininkai,"Vyšnių g.",19,G1,0633,22466
1949,LTU,V,N,0,Karoliniškės,"Igno Šimulionio g.",10,G1,0911,30664
1981,LTU,V,V,1,Verkiai,"Kolektyvo g.",1,G1,0247,22098
1968,LTU,V,V,0,Žirmūnai,"Žirmūnų g.",2,G1,0694,22524
1965,LTU,V,V,0,Antakalnis,"Vinciūniškių Sodų 17-oji g.",13,G1,2297,53412
2015,LTU,V,,0,Šnipiškės,"Kalvarijų g.",3,G1,0216,22068
1984,LTU,V,,0,Pašilaičiai,"Medeinos g.",7,G1,0330,22178
1938,LTU,M,V,0,Antakalnis,"Karačiūnų Sodų 10-oji g.",13,G1,2218,53256
1998,LTU,V,,0,Verkiai,"Didlaukio g.",1,G1,0094,21950
1983,POL,M,V,2,Rasos,"Markučių g.",15,G1,0327,22175
2011,LTU,V,,0,Verkiai,"Santariškių g.",1,G1,0482,22323
1978,LTU,V,V,1,Viršuliškės,"Rygos g.",9,G1,0469,22310
1982,LTU,V,V,2,Pilaitė,"Tolminkiemio g.",12,G1,0547,22386
1973,LTU,V,V,1,Pašilaičiai,"Pašilaičių g.",7,G1,0405,22250
1951,LTU,M,N,0,Šeškinė,"Dūkštų g.",5,G1,0109,21965
1996,LTU,V,,0,Šeškinė,"Gelvonų g.",5,G1,0141,21997
1964,LTU,M,V,0,Karoliniškės,"Vytauto Vaitkaus g.",10,G1,0358,22203
1983,LTU,M,V,0,Senamiestis,"Pilies g.",16,G1,0418,22262
1942,LTU,V,V,0,"Naujoji  Vilnia","Juodasis kel.",14,G1,0200,22053
2013,LTU,V,,0,Senamiestis,"Pilies g.",16,G1,0418,22262
1966,LTU,M,I,0,Naujininkai,"Rodūnios kel.",19,G1,0457,22298
2017,LTU,M,,0,Žirmūnai,"Kazimiero Ladygos g.",2,G1,2149,53002
1988,LTU,M,V,0,Lazdynai,"Architektų g.",11,G1,0027,21888
1954,LTU,M,I,0,Vilkpėdė,"Žemaitės g.",18,G1,0684,22515
1959,LTU,M,V,0,Verkiai,"Baltupio g.",1,G1,0050,21908
1992,LTU,M,,0,Pilaitė,"Tolminkiemio g.",12,G1,0547,22386
2016,LTU,M,,0,Naujamiestis,"S. Konarskio g.",17,G1,0475,22316
2008,LTU,V,,0,Verkiai,"Didlaukio g.",1,G1,0094,21950
1989,LTU,V,,0,,,,A461,,
2006,LTU,V,,0,Fabijoniškės,"P. Žadeikos g.",4,G1,0381,22226
1954,LTU,M,I,0,Viršuliškės,"Viršuliškių g.",9,G1,0619,22452
1986,LTU,M,,0,Žirmūnai,"Kareivių g.",2,G1,0225,22077
1965,LTU,V,I,1,Antakalnis,"Žirgo g.",13,G1,0693,22523
1957,LTU,M,I,0,Žirmūnai,"Žirmūnų g.",2,G1,0694,22524
1930,LTU,M,N,0,Karoliniškės,"Apolinaro Juozo Povilaičio g.",10,G1,0587,22423
1929,LTU,M,N,0,Senamiestis,"Pilies g.",16,G1,0418,22262
1977,LTU,V,,0,,,,A461,,
1968,LTU,M,V,0,Paneriai,"Mačiuliškių g.",20,G1,1855,50624
1977,LTU,M,,0,Verkiai,"Rugių g.",1,G1,0465,22306
1948,LTU,V,V,0,Šnipiškės,"Rinktinės g.",3,G1,0456,22297
1941,LTU,M,V,0,Šnipiškės,"Giedraičių g.",3,G1,0148,22004
1984,LTU,V,,0,Justiniškės,"Taikos g.",8,G1,0536,22375
1939,LTU,M,N,0,Justiniškės,"Taikos g.",8,G1,0536,22375
1956,LTU,V,I,0,Fabijoniškės,"Gedvydžių g.",4,G1,1135,22539
1993,LTU,M,,0,Senamiestis,"Šv. Stepono g.",16,G1,0670,22501
1967,LTU,M,V,0,Grigiškės,"Vilniaus g. (Grigiškės)",21,G89,0505,24542
1991,TUR,V,V,0,Verkiai,"Kazio Ulvydo g.",1,G1,2879,85963
2001,LTU,M,,0,Senamiestis,"Subačiaus g.",16,G1,0522,22362
1984,LTU,V,,0,Naujamiestis,"Aludarių g.",17,G1,0716,24258
1968,BLR,V,V,1,Žvėrynas,"Liepyno g.",6,G1,0288,22138
1981,LTU,V,V,1,Fabijoniškės,"Salomėjos Nėries g.",4,G1,2656,61728
1971,LTU,M,V,2,Antakalnis,"Svajonių g.",13,G1,0528,22367
1999,LTU,M,,0,"Naujoji  Vilnia","Linksmoji g.",14,G1,0292,22142
1985,LTU,M,,0,Šeškinė,"Gelvonų g.",5,G1,0141,21997
1997,LTU,V,,0,Pašilaičiai,"Gabijos g.",7,G1,0125,21981
1967,RUS,M,V,0,Antakalnis,"Petro Rimšos g.",13,G1,0579,22415
1933,LTU,M,N,0,,,,G1,0578,
1954,LTU,V,I,0,"Naujoji  Vilnia","Genių g.",14,G1,0142,21998
1933,RUS,M,N,0,Justiniškės,"Justiniškių g.",8,G1,0203,22056
1981,LTU,V,V,2,Verkiai,"Pranciškaus Smuglevičiaus g.",1,G1,1587,48860
2004,LTU,V,,0,Fabijoniškės,"Fabijoniškių g.",4,G1,0121,21977
1984,LTU,M,,1,Žirmūnai,"Tuskulėnų g.",2,G1,0562,22400
1958,LTU,V,V,0,Žirmūnai,"Tuskulėnų g.",2,G1,0562,22400
2009,LTU,M,,0,Verkiai,"Birelių g.",1,G1,1985,49124
1937,LTU,M,I,0,Pašilaičiai,"Žemynos g.",7,G1,0687,22518
1979,LTU,M,V,2,Verkiai,"Didlaukio g.",1,G1,0094,21950
1927,LTU,M,I,0,Karoliniškės,"Apolinaro Juozo Povilaičio g.",10,G1,0587,22423
1936,UZB,M,,0,Lazdynai,"Žėručio g.",11,G1,0706,22534
1935,LTU,M,N,0,Karoliniškės,"Apolinaro Juozo Povilaičio g.",10,G1,0587,22423
2000,LTU,V,,0,Pašilaičiai,"Gailašių g.",7,G1,2044,48327
2010,LTU,V,,0,Šnipiškės,"Konstitucijos pr.",3,G1,2102,51960
2013,LTU,M,,0,Naujamiestis,"M. K. Čiurlionio g.",17,G1,0315,22164
1926,LTU,M,N,0,Šnipiškės,"Ratnyčios g.",3,G1,0449,22290
1955,LTU,V,V,0,"Naujoji  Vilnia","Paeglinės g.",14,G1,0383,22228
1980,LTU,M,V,2,,,,G1,0110,
1997,LTU,M,,0,Naujamiestis,"A. Vivulskio g.",17,G1,0189,22042
1960,LTU,M,V,0,Verkiai,"Visorių Sodų 8-oji g.",1,G1,1658,49924
1985,LTU,M,,0,Naujamiestis,"Gedimino pr.",17,G1,0135,21991
1992,LTU,V,,0,Naujininkai,"Pupinės g.",19,G1,2029,26743
1971,LTU,V,V,2,Verkiai,"Laukelių g.",1,G1,0987,32111
1998,LTU,V,,0,Šeškinė,"Čiobiškio g.",5,G1,0641,22473
1993,LTU,V,,0,,,,A461,,
2002,BLR,V,,0,Naujininkai,"Dariaus ir Girėno g.",19,G1,0089,21945
1968,LTU,M,,0,Senamiestis,"Pylimo g.",16,G1,0439,22281
1935,LTU,M,,0,Naujamiestis,"S. Konarskio g.",17,G1,0475,22316
2013,LTU,V,,0,Lazdynai,"Erfurto g.",11,G1,0117,21973
1980,BLR,M,V,1,Žirmūnai,"S. Žukausko g.",2,G1,1977,51844
1988,LTU,V,V,1,Justiniškės,"Taikos g.",8,G1,0536,22375
1980,LTU,M,I,2,,,,A461,,
1972,LTU,V,,1,,,,A461,,
1926,LTU,V,N,0,Grigiškės,"Kovo 11-osios g. (Grigiškės)",21,G89,0528,24569
2011,LTU,V,,0,,,,A461,,
2015,LTU,V,,0,Naujamiestis,"J. Basanavičiaus g.",17,G1,0174,22028
1981,LTU,V,V,2,Paneriai,"E. Pliaterytės g.",20,G1,1859,50632
1985,LTU,V,V,2,,,,G1,0163,
1951,LTU,M,V,0,Viršuliškės,"Viršuliškių g.",9,G1,0619,22452
1976,LTU,M,V,0,"Naujoji  Vilnia","Gerovės g.",14,G1,0145,22001
2005,LTU,V,,0,,,,A461,,
1958,LTU,M,V,0,Naujininkai,"Tabariškių g.",19,G1,1640,49190
1944,UZB,M,N,0,Žvėrynas,"Miglos g.",6,G1,0340,22188
1988,LTU,V,,0,Justiniškės,"Laisvės pr.",8,G1,0272,22123
2000,LTU,M,,0,Šeškinė,"Ukmergės g.",5,G1,0567,22404
1963,BLR,V,I,0,"Naujoji  Vilnia","Karklėnų g.",14,G1,0735,24285
1943,LTU,M,V,0,Žirmūnai,"Tuskulėnų g.",2,G1,0562,22400
1962,LTU,M,I,0,,,,G1,2347,
1952,LTU,V,V,0,Šeškinė,"Gelvonų g.",5,G1,0141,21997
1968,LTU,M,V,2,Naujamiestis,"J. Jablonskio g.",17,G1,0180,22034
1960,LTU,M,I,0,Naujamiestis,"Naugarduko g.",17,G1,0364,22209
1994,LTU,V,,0,Naujininkai,"Naujininkų g.",19,G1,0367,22212
1984,LTU,M,,2,Senamiestis,"Totorių g.",16,G1,0549,22388
1987,LTU,M,V,1,Justiniškės,"Rygos g.",8,G1,0469,22310
1987,LTU,M,,0,Šeškinė,"Dūkštų g.",5,G1,0109,21965
1977,LTU,M,,0,Pilaitė,"Įsruties g.",12,G1,0643,22475
1952,LTU,M,,0,Pašilaičiai,"Gabijos g.",7,G1,0125,21981
1989,LTU,M,V,0,Verkiai,"Baltupio g.",1,G1,0050,21908
1934,LTU,M,V,0,Antakalnis,"Antakalnio g.",13,G1,0023,21884
1950,LTU,V,V,0,Naujininkai,"Prūsų g.",19,G1,0433,22275
1961,LTU,M,I,0,Žvėrynas,"Liepyno g.",6,G1,0288,22138
1987,LTU,M,,0,Fabijoniškės,"Fabijoniškių g.",4,G1,0121,21977
1948,LTU,M,V,0,Senamiestis,"Liejyklos g.",16,G1,0285,22135
1951,LTU,M,V,0,Fabijoniškės,"Fabijoniškių g.",4,G1,0121,21977
1978,LTU,M,V,2,Justiniškės,"Taikos g.",8,G1,0536,22375
1927,RUS,M,N,0,Vilkpėdė,"Savanorių pr.",18,G1,0487,22328
1955,LTU,V,V,0,Justiniškės,"Taikos g.",8,G1,0536,22375
1940,LTU,M,I,0,Antakalnis,"Antakalnio g.",13,G1,0023,21884
1951,LTU,M,V,0,Lazdynai,"Architektų g.",11,G1,0027,21888
1957,LTU,V,V,0,Rasos,"Subačiaus g.",15,G1,0522,22362
1982,LTU,V,V,2,,,,A461,,
1982,LTU,V,V,2,Pašilaičiai,"Ukmergės g.",7,G1,0567,22404
1975,UKR,V,V,1,Naujininkai,"Dariaus ir Girėno g.",19,G1,0089,21945
1972,LTU,M,,0,Verkiai,"Baltupio g.",1,G1,0050,21908
2008,LTU,M,,0,,,,A461,,
1922,LTU,M,N,0,Antakalnis,"Bistryčios g.",13,G1,0064,21920
2016,LTU,M,,0,Pašilaičiai,"Perkūnkiemio g.",7,G1,2710,64998
2013,LTU,M,,0,Viršuliškės,"Viršuliškių g.",9,G1,0619,22452
2015,LTU,M,,0,Justiniškės,"Taikos g.",8,G1,0536,22375
1956,LTU,V,V,0,Viršuliškės,"Viršuliškių g.",9,G1,0619,22452
1937,UKR,V,V,0,Karoliniškės,"Apolinaro Juozo Povilaičio g.",10,G1,0587,22423
2010,LTU,V,,0,Justiniškės,"Taikos g.",8,G1,0536,22375
2010,LTU,V,,0,Žvėrynas,"Traidenio g.",6,G1,0185,22039
1992,LTU,V,,0,Žirmūnai,"Tuskulėnų g.",2,G1,0562,22400
1948,BLR,V,V,0,Karoliniškės,"Igno Šimulionio g.",10,G1,0911,30664
1997,LTU,V,,0,Šeškinė,"Buivydiškių g.",5,G1,0073,21929
2010,LTU,M,,0,Antakalnis,"Gelvadiškių Sodų 4-oji g.",13,G1,2155,53130
2006,LTU,V,,0,Antakalnis,"P. Vileišio g.",13,G1,0379,22224
2010,LTU,V,,0,Lazdynai,"Architektų g.",11,G1,0027,21888
2016,LTU,V,,0,Senamiestis,"Šv. Stepono g.",16,G1,0670,22501
1928,RUS,M,N,0,Antakalnis,"Šilo g.",13,G1,0660,22492
2016,LTU,M,,0,Fabijoniškės,"Salomėjos Nėries g.",4,G1,2656,61728
1968,LTU,V,V,0,Pašilaičiai,"Medeinos g.",7,G1,0330,22178
1956,LTU,M,N,0,Antakalnis,"Keramikų g.",13,G1,0238,22089
1991,LTU,V,,0,Senamiestis,"Savičiaus g.",16,G1,0488,22329
1958,LTU,V,I,0,"Naujoji  Vilnia","Žemoji g.",14,G1,0686,22517
2009,LTU,V,,0,Pašilaičiai,"Girulių g.",7,G1,2707,64992
1960,LTU,M,V,0,Vilkpėdė,"Gerosios Vilties g.",18,G1,0144,22000
1970,LTU,M,V,0,Verkiai,"Didlaukio g.",1,G1,0094,21950
1955,LTU,M,V,0,Pašilaičiai,"Laisvės pr.",7,G1,0272,22123
1952,LTU,V,I,1,Žirmūnai,"Minties g.",2,G1,0345,22192
1978,LTU,M,,0,Viršuliškės,"Viršuliškių g.",9,G1,0619,22452
1963,LTU,M,V,0,Šnipiškės,"Krokuvos g.",3,G1,0256,22107
1979,BLR,M,V,3,Šeškinė,"Gelvonų g.",5,G1,0141,21997
1980,NGA,V,,0,Antakalnis,"Saulėtekio al.",13,G1,0486,22327
1952,LTU,V,V,0,Naujamiestis,"K. Donelaičio g.",17,G1,0206,22059
1955,DEU,V,V,0,Žirmūnai,"Minties g.",2,G1,0345,22192
1970,LTU,V,V,0,Žirmūnai,"Žirmūnų g.",2,G1,0694,22524
1983,LTU,V,V,1,Antakalnis,"P. Vileišio g.",13,G1,0379,22224
1989,LTU,M,V,1,Lazdynai,"Architektų g.",11,G1,0027,21888
1983,LTU,M,V,0,Šnipiškės,"Tauragnų g.",3,G1,0539,22378
1991,LTU,V,,0,Naujininkai,"Dzūkų g.",19,G1,0108,21964
1937,LTU,M,N,0,Žirmūnai,"Žirmūnų g.",2,G1,0694,22524
1967,LTU,M,V,0,"Naujoji  Vilnia","Ateities Sodų 3-ioji g.",14,G1,2695,61808
1955,EST,M,I,0,,,,A461,,
1998,LTU,M,,0,Pašilaičiai,"Justiniškių g.",7,G1,0203,22056
1972,LTU,M,V,0,Senamiestis,"Šv. Mikalojaus g.",16,G1,0669,22500
1971,LTU,V,I,1,,,,G1,0456,
2015,LTU,M,,0,Lazdynai,"Architektų g.",11,G1,0027,21888
1968,LTU,V,V,0,Karoliniškės,"Rolando Jankausko g.",10,G1,0610,22445
1993,LTU,M,,0,Naujininkai,"Prūsų g.",19,G1,0433,22275
2000,LTU,V,,0,Viršuliškės,"Viršuliškių g.",9,G1,0619,22452
2002,LTU,V,,0,Šnipiškės,"Kalvarijų g.",3,G1,0216,22068
1946,LTU,M,N,0,Karoliniškės,"Vido Maciulevičiaus g.",10,G1,0523,22363
1996,LTU,V,,0,Fabijoniškės,"Salomėjos Nėries g.",4,G1,2656,61728
2014,LTU,V,,0,"Naujoji  Vilnia","Kalnėnų g.",14,G1,1965,51616
1978,LTU,V,V,2,Pilaitė,"Įsruties g.",12,G1,0643,22475
1969,LTU,M,,0,Antakalnis,"Antakalnio g.",13,G1,0023,21884
1992,LTU,V,,0,Pilaitė,"Tolminkiemio g.",12,G1,0547,22386
1974,LTU,V,V,2,Lazdynai,"Architektų g.",11,G1,0027,21888
1952,LTU,M,I,0,Naujininkai,"Pupinės g.",19,G1,2029,26743
1936,BLR,M,N,0,"Naujoji  Vilnia","Čepkelių g.",14,G1,0937,31863
1984,LTU,V,I,2,,,,A461,,
1992,LTU,V,,0,Pilaitė,"Kriaučiūnų g.",12,G1,2095,48804
1992,LTU,V,,0,Karoliniškės,"Dariaus Gerbutavičiaus g.",10,G1,0678,22509
2005,LTU,M,,0,Naujamiestis,"Gedimino pr.",17,G1,0135,21991
1983,LTU,M,I,0,Rasos,"Liepkalnio g.",15,G1,0286,22136
1980,LTU,V,V,3,Pašilaičiai,"Girulių g.",7,G1,2707,64992
1949,LTU,V,N,0,Naujininkai,"Šaltkalvių g.",19,G1,0646,22478
1980,LTU,V,V,2,Pilaitė,"Pilaitės Sodų g.",12,G1,2779,67441
1999,LTU,V,,0,,,,G1,0249,
1962,LTU,M,V,0,Verkiai,"Popieriaus g.",1,G1,0428,22270
1948,LTU,M,V,0,Šeškinė,"Gelvonų g.",5,G1,0141,21997
1990,LTU,V,,0,Naujamiestis,"Savanorių pr.",17,G1,0487,22328
1968,LTU,M,I,0,Žirmūnai,"Minties g.",2,G1,0345,22192
1973,LTU,M,V,0,"Naujoji  Vilnia","Širšių g.",14,G1,0666,22497
1952,ARM,V,V,0,Naujininkai,"Dariaus ir Girėno g.",19,G1,0089,21945